KIC,TIC
9693765,164457510
9165620,272084598
9076649,158172787
6794259,272182659
1434231,351052876
10798083,424864945
9106409,273134471
4935172,138730381
4840263,137971367
5380408,184559456
7916890,268826148
2555080,120762767
5107886,138642368
11457072,26748481
8742584,158326528
1865262,122673168
2719461,137891321
6441499,137211293
10877517,28231272
4907538,120821229
12020455,27533281
8604907,123417638
9789958,268060179
5607906,121461259
9468347,275575381
4827091,121940927
7596357,158556081
5616600,122601312
7513447,158385914
2860359,137976955
9098216,271427387
5273041,137090419
8815868,159452280
10934828,28231612
2972637,120971416
9305157,269270649
9288444,271255932
7282550,63120119
10132204,158663658
5686723,120320073
2452180,138154551
9154340,62999763
4477067,138892290
4815798,120316227
9651682,63452792
7299869,272708054
5693289,121329999
4667515,138972210
11567586,27648715
8611949,158171919
9944705,158838153
5036393,169931376
10854285,299032352
10155344,272600553
3356035,138808176
3232392,122607242
3756846,138479833
4241562,120355188
6508511,158387452
5215283,170739322
8475026,123411356
7023667,158792882
8091501,159106486
12300975,399949744
6149779,171090664
10685353,264509584
5295386,168815279
8331734,185184417
9963628,272601248
10397181,158785552
9209289,158492231
9030786,271352549
8161167,159305429
10594326,159052524
10916554,267669320
7598721,158796178
7612519,275570584
6805194,268165848
11620956,27846937
5461699,184009281
5513771,120251806
4244865,120691736
3234746,137150539
9488247,268933003
10190593,164556850
9329088,164881967
9145926,158626947
6952489,240185079
6047857,138220015
3765529,184242944
7283780,63212408
8907464,268156257
5630990,138962354
10990965,28361284
5542232,138640944
7598267,158791682
10815083,28359837
7598783,158920102
9305908,239277740
8709982,274128884
5731824,170649300
3750914,137633316
10132220,158663613
9763021,158664459
7129427,271434289
5899165,169818178
2284341,120890735
3958730,137688947
3866536,184014677
4471094,138215143
10023732,272363304
4135771,120315234
6665187,123364431
10602514,26750498
11463603,27648367
6689726,159716050
11668194,27389854
9942268,158487952
4465529,137403911
5640085,169082553
4825892,121787279
4460611,122448312
9005963,164882529
5018300,138425448
5084804,121108822
9469181,270617835
2282783,120636809
10644736,47937552
4914205,121787521
8168055,63366345
6190866,121016526
11514919,27456919
6023651,120252540
8977468,268391441
7383367,272951070
5982368,169467738
8748467,159177397
5524424,121864483
8175514,271430631
9466836,63362911
3110511,122142843
7742888,158630061
8116291,273238600
4285421,360028742
11872541,27685222
7455896,271347510
9964422,272838850
2578513,137348336
7031293,159575603
6100414,390206020
9839282,271424790
10389884,164782255
3353480,138647985
9292347,272084063
6881599,272483947
4372776,138302123
5287185,138969804
5964911,138096747
4859537,169560879
12256757,406999121
3547853,137550198
9083355,159169789
6450242,270864778
9161330,271043143
8824868,270857515
8420644,158493932
6448574,138221433
8652029,239275224
10207466,62917067
8150795,351911778
6263060,390206872
4035839,120315073
4909081,121018786
7816331,159179877
7022035,158633689
11521527,28307162
3445348,351059894
7509395,164885074
5722737,184560615
12366999,27778181
11405788,26818448
7266123,158169455
6367439,137901734
